Streak,Details,Image_url
LONGEST_STREAK,"“lovely (with Khalid)” by Billie Eilish and Khalid has been on Top Songs Global the longest, at 348 weeks straight.",https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c
HIGHEST_NEW_ENTRY,“PUSH 2 START” by Tyla is the highest new entry on Top Songs Global at #144.,https://i.scdn.co/image/ab67616d0000b27334d2121bebebc1e7d9a0c369
GREATEST_GAINER,"“Do They Know It's Christmas? - 1984 Version” by Band Aid is the biggest gainer on Top Songs Global, up 73 spots at #70.",https://i.scdn.co/image/ab67616d0000b273d549b09f0264901929eaa6e8
ARTIST_WITH_MOST_ENTRIES,Bruno Mars has the most spots on Top Songs Global. “Die With A Smile” is the highest at #1.,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
