Name,Rank,Previous Rank,Image URL,Song URL,Artist/s Name,Artist Spotify
Holly Jolly Christmas,28,35,https://i.scdn.co/image/ab67616d00001e022ead7786631d8dd3b59be4f0,spotify:track:67mgz7S5y7hnCE63YBjfO6,Michael Bublé,spotify:artist:1GxkXlMwML1oSg5eLPiAz3
Sleigh Ride,29,40,https://i.scdn.co/image/ab67616d00001e021f0d5a8ff630fd5944c3936d,spotify:track:7fUYUcWy853HS8YJn0b3Sr,The Ronettes,spotify:artist:7CyeXFnOrfC1N6z4naIpgo
Si Antes Te Hubiera Conocido,30,28,https://i.scdn.co/image/ab67616d00001e02491678beaffcefac517a699e,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,spotify:artist:790FomKkXshlbRYZFtlgla
ROSONES,31,65,https://i.scdn.co/image/ab67616d00001e02c6d0e8bfb41e9d9cee3a1248,spotify:track:0LTwdL5yZ6YOTEGUQPFuSN,Tito Double P,spotify:artist:5eumcnUkdmGvkvcsx1WFNG
Qué Pasaría...,32,27,https://i.scdn.co/image/ab67616d00001e02ed432d7df981360768dd5856,spotify:track:0l0vcZMU7AOeQmUIREoI2U,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
Khé?,33,31,https://i.scdn.co/image/ab67616d00001e02ed432d7df981360768dd5856,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,Romeo Santos,spotify:artist:5lwmRuXgjX8xIwlnauTZIP
toxic till the end,34,29,https://i.scdn.co/image/ab67616d00001e025074bd0894cb1340b8d8a678,spotify:track:1z5ebC9238uGoBgzYyvGpQ,ROSÉ,spotify:artist:3eVa5w3URK5duf6eyVDbu9
Mistletoe,35,53,https://i.scdn.co/image/ab67616d00001e02af0aff7f601df9ed6d2d531d,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Messy,36,87,https://i.scdn.co/image/ab67616d00001e026aa2a180c7b009ca8454ef89,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,spotify:artist:67FB4n52MgexGQIG8s0yUH
DEGENERE 👑 (feat. benny blanco),37,43,https://i.scdn.co/image/ab67616d00001e02211e6d4c3a41019e9309686d,spotify:track:0qeIFEGRQqHoaJtLCl0U73,benny blanco,spotify:artist:5CiGnKThu5ctn9pBxv7DGa
Please Please Please,38,34,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,spotify:artist:74KM79TiuVKeVCqs8QtB0B
Wonderful Christmastime - Edited Version / Remastered 2011,39,77,https://i.scdn.co/image/ab67616d00001e023cef016d13d82873d45af84a,spotify:track:1SV1fxF65n9NhRHp3KlBuu,Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB
The Christmas Song (Merry Christmas To You),40,56,https://i.scdn.co/image/ab67616d00001e02deac5adf07affb5fec422701,spotify:track:5humEOJehpAwMJEJmb0JJ2,Nat King Cole,spotify:artist:7v4imS0moSyGdXyLgVTIV7
I Wanna Be Yours,41,39,https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH
Running Wild,42,33,https://i.scdn.co/image/ab67616d00001e0202dd46d1f82ce19b5927b269,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV
Lose Control,43,37,https://i.scdn.co/image/ab67616d00001e021a0323cc23419360a34a3ace,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,spotify:artist:33qOK5uJ8AR2xuQQAhHump
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),44,49,https://i.scdn.co/image/ab67616d00001e02d5f598be32d3027b9578ecd6,spotify:track:6IeK3Ap5m3HabwJxgI6eSE,Mitchell Ayres & His Orchestra,spotify:artist:0HS96tPggl2nwiz3gNWWI5
squabble up,45,32,https://i.scdn.co/image/ab67616d00001e02d9985092cd88bffd97653b58,spotify:track:0nj9Bq5sHDiTxSHunhgkFb,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
See You Again (feat. Kali Uchis),46,48,https://i.scdn.co/image/ab67616d00001e028940ac99f49e44f59e6f7fb3,spotify:track:7KA4W4McWYRpgf0fWsJZWB,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
"I Love You, I'm Sorry",47,46,https://i.scdn.co/image/ab67616d00001e026e2101520787791370f4a96b,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,spotify:artist:4tuJ0bMpJh08umKkEXKUI5
Like Him (feat. Lola Young),48,61,https://i.scdn.co/image/ab67616d00001e02124e9249fada4ff3c3a0739c,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,Lola Young,spotify:artist:67FB4n52MgexGQIG8s0yUH
The Night We Met,49,38,https://i.scdn.co/image/ab67616d00001e029d2efe43d5b7ebc7cb60ca81,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25
"One Of The Girls (with JENNIE, Lily Rose Depp)",50,41,https://i.scdn.co/image/ab67616d00001e02b0dd6a5cd1dec96c4119c262,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,Lily-Rose Depp,spotify:artist:1pBLC0qVRTB5zVMuteQ9jJ
