Name,Rank,Previous Rank,Image URL,Song URL,Artist/s Name,Artist Spotify
I've Tried Everything But Therapy (Part 1),33,27,https://i.scdn.co/image/ab67616d00001e021a0323cc23419360a34a3ace,spotify:album:7nacKlk586eLRBSIsrk9DB,Teddy Swims,spotify:artist:33qOK5uJ8AR2xuQQAhHump
From Zero,34,24,https://i.scdn.co/image/ab67616d00001e02b11a5489e8cb11dd22b930a0,spotify:album:4R6FV9NSzhPihHR0h4pI93,Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
HOP,35,-1,https://i.scdn.co/image/ab67616d00001e02841695ed5f1525227ac5ddf0,spotify:album:3IGZmUJql41Q2FSIBweSsz,Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE
Stick Season,36,29,https://i.scdn.co/image/ab67616d00001e026ee35072df1af802cca09918,spotify:album:50ZenUP4O2Q5eCy2NRNvuz,Noah Kahan,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B
Lover,37,33,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,spotify:album:1NAmidJlEaVgA3MpcPFYGq,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Blonde,38,34,https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526,spotify:album:3mH6qwIy9crq0I9YQbOuDf,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM
A Jolly Christmas From Frank Sinatra,39,46,https://i.scdn.co/image/ab67616d00001e0294fd2e614d0862bdd2592594,spotify:album:0ny6mZMBrYSO0s8HAKbcVq,Frank Sinatra,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0
The Dean Martin Christmas Album,40,43,https://i.scdn.co/image/ab67616d00001e02c7a9f0ea9b8bec1861217321,spotify:album:4Kd6niUoyuNkcLRVmThm0H,Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9
The Greatest Christmas Hits,41,48,https://i.scdn.co/image/ab67616d00001e02e1893a8d38874f287f3b5d1a,spotify:album:4tRcSRjaE98LsBVOm6cSJT,Pentatonix,spotify:artist:26AHtbjWKiwYzsoGoUZq53
UTOPIA,42,37,https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44,spotify:album:18NOKLkZETa4sWwLMIm0UZ,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Goodbye & Good Riddance,43,32,https://i.scdn.co/image/ab67616d00001e02f7db43292a6a99b21b51d5b4,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
The Party Never Ends 2.0,44,17,https://i.scdn.co/image/ab67616d00001e02c435ae51e1d314f3ecea02a0,spotify:album:7kOpqRCEqTTzcGc4CwEFph,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
folklore,45,42,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,spotify:album:2fenSS68JI1h4Fo296JfGr,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
After Hours,46,45,https://i.scdn.co/image/ab67616d00001e028863bc11d2aa12b54f5aeb36,spotify:album:4yP0hdKOZPNshxUOjY0cZj,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
È FINITA LA PACE,47,-1,https://i.scdn.co/image/ab67616d00001e02210484981a7d3ec04f5958b0,spotify:album:6nyZbMYKNZyhaFx559HpQo,Marracash,spotify:artist:5AZuEF0feCXMkUCwQiQlW7
Midnights,48,44,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5,spotify:album:151w1FgRZfnKZA9FEcg9Z3,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
Happy - :') (Remixes),49,41,https://i.scdn.co/image/ab67616d00001e0202dd46d1f82ce19b5927b269,spotify:album:3nRmQ70bczWCLWyj1aRbt6,Jin,spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV
Hybrid Theory (Bonus Edition),50,51,https://i.scdn.co/image/ab67616d00001e02e2f039481babe23658fc719a,spotify:album:6hPkbAV3ZXpGZBGUvL6jVM,Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
