Streak,Details,Image_url
LONGEST_STREAK,"“AM” by Arctic Monkeys has been on Top Albums Global the longest, at 219 weeks straight.",https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
HIGHEST_NEW_ENTRY,“HOP” by Stray Kids is the highest new entry on Top Albums Global at #35.,https://i.scdn.co/image/ab67616d0000b273841695ed5f1525227ac5ddf0
GREATEST_GAINER,"“The Lockdown Sessions” by Elton John is the biggest gainer on Top Albums Global, up 48 spots at #118.",https://i.scdn.co/image/ab67616d0000b273eb842acacb3238b2bf3b8471
ARTIST_WITH_MOST_ENTRIES,Taylor Swift has the most spots on Top Albums Global. “THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY” is the highest at #13.,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
